Date,Open,High,Low,Close,Adj Close,Volume
2018-04-27,38.000000,40.889999,37.000000,39.730000,39.730000,16392400
2018-04-30,39.904999,40.189999,37.529999,38.630001,38.630001,3312100
2018-05-01,38.700001,39.889999,37.849998,39.450001,39.450001,1285600
2018-05-02,39.849998,40.500000,38.750000,39.320000,39.320000,1251300
2018-05-03,39.689999,42.560001,38.810001,41.959999,41.959999,2783600
2018-05-04,42.400002,42.660000,41.009998,41.090000,41.090000,763500
2018-05-07,41.650002,41.911999,41.040001,41.310001,41.310001,630800
2018-05-08,41.500000,43.680000,40.500000,43.220001,43.220001,821200
2018-05-09,44.439999,44.869999,43.244999,44.099998,44.099998,1178100
2018-05-10,44.880001,46.699001,43.660000,44.009998,44.009998,1467900
2018-05-11,44.560001,45.889999,44.009998,44.369999,44.369999,761900
2018-05-14,44.990002,45.727001,43.369999,44.189999,44.189999,1031900
2018-05-15,44.389999,45.730000,43.494999,45.459999,45.459999,423000
2018-05-16,45.340000,45.650002,44.560001,45.230000,45.230000,299000
2018-05-17,45.200001,46.400002,44.549999,44.900002,44.900002,339400
2018-05-18,44.750000,45.000000,44.360001,44.779999,44.779999,350800
2018-05-21,45.500000,45.500000,41.720001,42.980000,42.980000,804400
2018-05-22,43.240002,44.720001,42.851002,43.049999,43.049999,1062500
2018-05-23,43.639999,45.619999,43.099998,45.419998,45.419998,1124800
2018-05-24,45.939999,47.700001,45.296001,46.799999,46.799999,1011700
2018-05-25,47.230000,48.900002,46.106998,46.369999,46.369999,678000
2018-05-29,46.669998,49.330002,45.855000,48.430000,48.430000,929700
2018-05-30,48.900002,51.000000,48.560001,49.990002,49.990002,830900
2018-05-31,50.130001,51.201000,49.529999,49.810001,49.810001,867100
2018-06-01,50.279999,50.740002,49.759998,50.119999,50.119999,564000
2018-06-04,51.000000,54.150002,50.540001,53.650002,53.650002,1121200
2018-06-05,54.290001,58.279999,52.000000,54.590000,54.590000,2463600
2018-06-06,55.630001,57.380001,54.360001,57.360001,57.360001,989500
2018-06-07,58.950001,59.860001,53.500000,55.990002,55.990002,3617100
2018-06-08,58.250000,60.450001,55.310001,57.919998,57.919998,7147600
2018-06-11,58.299999,60.000000,58.200001,59.540001,59.540001,2131400
2018-06-12,60.490002,63.349998,60.000000,61.820000,61.820000,2408600
2018-06-13,63.279999,64.970001,62.000000,63.770000,63.770000,2126700
2018-06-14,64.989998,65.816002,63.099998,63.529999,63.529999,1932200
2018-06-15,63.090000,64.580002,62.299999,63.950001,63.950001,3584200
2018-06-18,63.509998,66.191002,61.645000,63.900002,63.900002,1553300
2018-06-19,62.139999,64.699997,57.599998,63.869999,63.869999,3791400
2018-06-20,64.669998,66.800003,62.029999,62.459999,62.459999,2381500
2018-06-21,63.060001,63.189999,57.470001,57.590000,57.590000,3209100
2018-06-22,58.900002,58.990002,55.000000,57.549999,57.549999,4039300
2018-06-25,55.580002,55.654999,52.049999,55.000000,55.000000,2847100
2018-06-26,55.490002,56.969002,54.900002,56.470001,56.470001,1601600
2018-06-27,56.950001,57.200001,51.740002,51.770000,51.770000,2267000
2018-06-28,51.619999,54.000000,50.344002,53.040001,53.040001,2312000
2018-06-29,53.669998,54.000000,51.831001,52.950001,52.950001,1636900
2018-07-02,52.459999,53.160000,50.500000,52.340000,52.340000,1933500
2018-07-03,52.459999,53.500000,51.849998,51.970001,51.970001,721700
2018-07-05,52.490002,55.389999,51.592999,54.619999,54.619999,2171200
2018-07-06,null,null,null,null,null,null
2018-07-09,55.279999,56.490002,54.870998,55.349998,55.349998,901400
2018-07-10,55.770000,55.770000,52.189999,52.369999,52.369999,1583100
2018-07-11,52.000000,53.759998,51.610001,51.980000,51.980000,1120300
2018-07-12,52.240002,56.439999,51.500000,55.369999,55.369999,2377700
2018-07-13,55.380001,56.000000,54.680000,55.330002,55.330002,1038900
2018-07-16,55.250000,57.278999,54.900002,55.049999,55.049999,830900
2018-07-17,54.500000,55.400002,52.939999,54.090000,54.090000,1461300
2018-07-18,53.930000,54.599998,52.910000,53.049999,53.049999,939000
2018-07-19,52.930000,53.810001,51.930000,52.360001,52.360001,1209100
2018-07-20,52.250000,52.764999,51.709999,52.209999,52.209999,663100
2018-07-23,51.970001,55.849998,51.750000,55.529999,55.529999,1260300
2018-07-24,56.119999,57.500000,52.900002,53.790001,53.790001,1763700
2018-07-25,53.759998,55.661999,53.759998,54.689999,54.689999,555400
2018-07-26,54.009998,55.880001,53.770000,55.509998,55.509998,1622600
2018-07-27,56.730000,57.000000,53.500000,54.820000,54.820000,1317500
2018-07-30,54.919998,55.240002,50.060001,51.709999,51.709999,2140100
2018-07-31,51.889999,54.959999,51.509998,53.900002,53.900002,1178200
2018-08-01,54.299999,56.150002,54.195000,55.750000,55.750000,895500
2018-08-02,55.389999,59.180000,55.000000,58.910000,58.910000,1360200
2018-08-03,null,null,null,null,null,null
2018-08-06,null,null,null,null,null,null
2018-08-07,null,null,null,null,null,null
2018-08-08,null,null,null,null,null,null
2018-08-09,null,null,null,null,null,null
2018-08-10,null,null,null,null,null,null
2018-08-13,null,null,null,null,null,null
2018-08-14,null,null,null,null,null,null
2018-08-15,null,null,null,null,null,null
2018-08-16,null,null,null,null,null,null
2018-08-17,null,null,null,null,null,null
2018-08-20,null,null,null,null,null,null
2018-08-21,null,null,null,null,null,null
2018-08-22,null,null,null,null,null,null
2018-08-23,null,null,null,null,null,null
2018-08-24,null,null,null,null,null,null
2018-08-27,null,null,null,null,null,null
2018-08-28,null,null,null,null,null,null
2018-08-29,66.500000,68.019997,65.750000,67.870003,67.870003,862000
2018-08-30,67.300003,67.400002,64.550003,65.000000,65.000000,1577800
